sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"nitric amide";"7782-94-7";"H2N2O2";"H2N2O2";"62.0281";"II";"11.54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-nitrobenzeneacetic acid";"3740-52-1";"C8H7NO4";"O2NC6H4CH2COOH";"181.148";"I";"4.01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-nitrobenzoic acid";"552-16-9";"C7H5NO4";"O2NC6H4COOH";"167.121";"I";"2.17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-nitrobenzoic acid";"121-92-6";"C7H5NO4";"O2NC6H4COOH";"167.121";"I";"3.45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-nitrobutyric acid";"";"C4H7NO4";"CH3CH2CH(NO2)COOH";"133.103";"I";"2.39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-nitro-4-chlorophenoxyacetic acid";"";"(O2N)(Cl)C6H3OCH2COOH";"(O2N)(Cl)C6H3OCH2COOH";"231.592";"I";"2.96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-nitrocinnamic acid";"619-89-6";"C9H7NO4";"O2NC6H4CHCHCOOH";"193.159";"I";"4.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"nitroethane";"79-24-3";"C2H5NO2";"CH3CH2NO2";"75.067";"I";"8.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"nitromethane";"75-52-5";"CH3NO2";"CH3NO2";"61.0402";"I";"10.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-nitrophenol";"88-75-5";"C6H5NO3";"O2NC6H4OH";"139.11";"I";"7.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-nitrophenol";"554-84-7";"C6H5NO3";"O2NC6H4OH";"139.11";"I";"8.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-nitrophenylacetic acid";"1877-73-2";"C8H7NO4";"O2NC6H4CH2COOH";"181.148";"I";"3.97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-nitrophenylacetic acid";"104-03-0";"C8H7NO4";"O2NC6H4CH2COOH";"181.148";"I";"3.85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-(o-nitrophenyl)propanoic acid";"";"C9H9NO4";"O2NC6H4(CH2)2COOH";"195.172";"I";"4.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-(p-nitrophenyl)propanoic acid";"";"C9H9NO4";"O2NC6H4(CH2)2COOH";"195.172";"I";"4.47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"a-nitropropionic acid";"";"C3H5NO4";"CH3CH(NO2)COOH";"119.076";"I";"2.39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-nitropropionic acid";"504-88-1";"C3H5NO4";"O2N(CH2)2COOH";"119.077";"I";"3.97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"nitrous acid";"7782-77-6";"HNO2";"HNO2";"47.0134";"I";"3.29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"norleucine";"327-57-1";"C6H13NO2";"CH3(CH2)3CH(NH2)COOH";"131.174";"I";"9.83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"octanedioic acid";"505-48-6";"C8H14O4";"HOOC(CH2)6COOH";"174.196";"I";"4.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"octanedioic acid";"505-48-6";"C8H14O4";"HOOC(CH2)6COOH";"174.196";"II";"5.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthogermanic acid";"";"H4GeO4";"H4GeO4";"140.619";"I";"8.78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthogermanic acid";"";"H4GeO4";"H4GeO4";"140.619";"II";"12.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthophosphoric acid";"7664-38-2";"H3O4P";"H3PO4";"97.9951";"I";"2.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthophosphoric acid";"7664-38-2";"H3O4P";"H3PO4";"97.9951";"II";"7.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthophosphoric acid";"7664-38-2";"H3O4P";"H3PO4";"97.9951";"III";"12.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthophosphorous acid";"13598-36-2";"H3O3P";"H3PO3";"81.9957";"I";"1.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthophosphorous acid";"13598-36-2";"H3O3P";"H3PO3";"81.9957";"II";"6.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthosilicic acid";"10193-36-9";"H4O4Si";"H4SiO4";"96.1152";"I";"9.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthosilicic acid";"10193-36-9";"H4O4Si";"H4SiO4";"96.1152";"II";"11.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthosilicic acid";"10193-36-9";"H4O4Si";"H4SiO4";"96.1152";"III";"13.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthovanadic acid";"";"H3O4V";"H3VO4";"117.963";"II";"8.95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"orthovanadic acid";"";"H3O4V";"H3VO4";"117.963";"III";"14.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"oxalic acid";"144-62-7";"C2H2O4";"(COOH)2";"90.0354";"I";"1.27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"oxalic acid";"144-62-7";"C2H2O4";"(COOH)2";"90.0354";"II";"4.27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pelargonic acid";"112-05-0";"C9H18O2";"CH3(CH2)7COOH";"158.24";"I";"4.96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pentanedioic acid";"110-94-1";"C5H8O4";"HOOC(CH2)3COOH";"132.115";"I";"4.34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pentanedioic acid";"110-94-1";"C5H8O4";"HOOC(CH2)3COOH";"132.115";"II";"5.27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-pentenoic acid";"591-80-0";"C5H8O2";"CH2CH(CH2)2COOH";"100.117";"I";"4.68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"performic acid";"107-32-4";"CH2O3";"H2CO3";"62.025";"I";"6.35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"performic acid";"107-32-4";"CH2O3";"H2CO3";"62.025";"II";"10.32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
