sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Chemist's Companion - A Handbook of Practical Data, Techniques, and References"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Table 2. Dissociation Constants of Common Acids in Water"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"acid";"temperature, T (°C)";"dissociation constant, Ka";"acid dissociation constant, pKa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acetic (CH3CO2H)";"25";"1.754 × 10-5";"4.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arsenic (H3AsO4) (1)";"18";"5.62 × 10-3";"2.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arsenic (H3AsO4) (2)";"18";"1.70 × 10-7";"6.77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arsenic (H3AsO4) (3)";"18";"3.95 × 10-12";"11.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arsenious (HAsO3)";"25";"6 × 10-10";"9.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic (C6H5CO2H)";"25";"6.312 × 10-5";"4.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Boric (H3BO3) (1)";"20";"7.3 × 10-10";"9.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Boric (H3BO3) (2)";"20";"1.8 × 10-13";"12.74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Boric (H3BO3) (3)";"20";"1.6 × 10-14";"13.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"n-Butyric (C3H2CO2H)";"25";"1.515 × 10-5";"4.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Carbonic (H2CO3) (1)";"25";"4.30 × 10-7";"6.37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Carbonic (H2CO3) (2)";"25";"5.61 × 10-11";"10.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chloroacetic (ClCH2CO2H)";"25";"1.359 × 10-3";"2.87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chromic (H2CrO4) (1)";"25";"1.8 × 10-1";"0.74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chromic (H2CrO4) (2)";"25";"3.20 × 10-7";"6.49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-Cresol (CH3C6H4OH)";"25";"5.5 × 10-11";"10.26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Formic (HCO2H)";"20";"1.77 × 10-4";"3.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydriodic (HI)";"25";"~1.0 × 1011";"~-11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrobromic (HBr)";"25";"~1.0 × 109";"~-9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrocyanic (HCN)";"25";"4.93 × 10-10";"9.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrofluoric (HF)";"25";"3.53 × 10-4";"3.45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen selenide (H2Se)";"25";"1.0 × 10-4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen telluride (H2Te)";"25";"1.0 × 10-3";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen sulfide (H2S) (1)";"18";"9.1 × 10-8";"7.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen sulfide (H2S) (2)";"18";"1.1 × 10-12";"11.96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hypobromous (HOBr)";"25";"2.06 × 10-9";"8.69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hypochlorous (HOCl)";"18";"2.95 × 10-8";"7.53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hypoiodous (HOI)";"25";"1.0 × 10-10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iodic (HIO3)";"25";"1.69 × 10-1";"0.77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Nitric (HNO3)";"25";"4.36 × 101";"-1.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Nitrous (HNO2)";"12.5";"4.6 × 10-4";"3.37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Octanoic (C7H15CO2H)";"25";"1.28 × 10-5";"4.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Perchloric (HClO4)";"25";"~1.0 × 108";"~-8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Periodic (HIO4)";"25";"2.3 × 10-2";"1.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Phenol (C6H5OH)";"20";"1.28 × 10-10";"9.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Picric (2,4,6-(NO2)3C6H2OH)";"25";"4.2 × 10-1";"0.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Phosphoric (H3PO4) (1)";"25";"7.52 × 10-3";"2.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Phosphoric (H3PO4) (2)";"25";"6.23 × 10-8";"7.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Phosphoric (H3PO4) (3)";"18";"2.2 × 10-13";"12.67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Phosphorous (H3PO3) (1)";"25";"1.58 × 10-2";"1.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Phosphorous (H3PO3) (2)";"25";"6.3 × 10-7";"6.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
