sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Chemist's Companion - A Handbook of Practical Data, Techniques, and References"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Table 3. Dissociation Constants of Common Nitrogen Bases in Water"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"base";"temperature, T (°C)";"dissociation constant, Ka";"acid dissociation constant, pKa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ammonia";"25";"5.66 × 10-10";"9.247";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aniline";"25";"2.34 × 10-5";"4.63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,8-Bis(dimethylamino) naphthalenea";"25";"4.27 × 10-13";"12.37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzylamine";"25";"4.67 × 10-10";"9.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"n-Butylamine";"20";"1.67 × 10-11";"10.777";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cyclohexylamine";"24";"2.19 × 10-11";"10.66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diethylamine";"20";"8.13 × 10-12";"11.09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diisopropylamine";"21";"7.41 × 10-12";"11.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dimethylamine";"25";"1.85 × 10-11";"10.732";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diphenylamine";"25";"1.62 × 10-1";"0.79";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylamine";"20";"1.56 × 10-11";"10.807";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylenediamine (1)";"20";"8.41 × 10-11";"10.075";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylenediamine (2)";"20";"1.04 × 10-7";"6.985";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hexamethylenediamine (1)";"20";"7.85 × 10-12";"11.105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hexamethylenediamine (2)";"20";"9.68 × 10-11";"10.014";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Isoquinoline";"20";"4.17 × 10-6";"5.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
